Number of Targets, Time, Plan Length, Num Satellites, Num Modes, Num Instruments, Num Observations
8, 0.011204742000018086, 8, 10, 5, 10, 2
8, 0.01108694499998819, 11, 10, 5, 10, 2
8, 0.013417851000212977, 11, 10, 5, 10, 2
8, 0.024146600999984003, 15, 10, 5, 10, 2
8, 0.01729954200004613, 15, 10, 5, 10, 2
8, 0.018450367000014012, 15, 10, 5, 10, 2
8, 0.01972058699993795, 14, 10, 5, 10, 2
8, 0.015355407000015475, 13, 10, 5, 10, 2
8, 0.0227483480000501, 12, 10, 5, 10, 2
8, 0.01736073100005342, 16, 10, 5, 10, 2
8, 0.012664000000086162, 12, 10, 5, 10, 2
8, 0.018684234000147626, 13, 10, 5, 10, 2
8, 0.009110606999911397, 10, 10, 5, 10, 2
8, 0.016051294999897436, 13, 10, 5, 10, 2
8, 0.015057410000054006, 14, 10, 5, 10, 2
8, 0.010925775000032445, 10, 10, 5, 10, 2
8, 0.015453725999805101, 15, 10, 5, 10, 2
8, 0.01648218100012855, 13, 10, 5, 10, 2
8, 0.023792686999968282, 16, 10, 5, 10, 2
9, 0.013177078999888181, 13, 10, 5, 10, 2
9, 0.017876689000104307, 10, 10, 5, 10, 2
9, 0.011273583000047438, 11, 10, 5, 10, 2
9, 0.019084082000063063, 13, 10, 5, 10, 2
9, 0.010053141000071264, 11, 10, 5, 10, 2
9, 0.011949251999794797, 7, 10, 5, 10, 2
9, 0.012598271999877397, 12, 10, 5, 10, 2
9, 0.013027173999944353, 12, 10, 5, 10, 2
9, 0.012835386999995535, 11, 10, 5, 10, 2
9, 0.009340164000150253, 10, 10, 5, 10, 2
9, 0.012023864999946454, 13, 10, 5, 10, 2
9, 0.010989358999950127, 10, 10, 5, 10, 2
9, 0.011519070000076681, 11, 10, 5, 10, 2
9, 0.018911384999910297, 15, 10, 5, 10, 2
9, 0.020573593999870354, 15, 10, 5, 10, 2
9, 0.011930016000178512, 12, 10, 5, 10, 2
9, 0.01850706100003663, 13, 10, 5, 10, 2
9, 0.007069724000075439, 7, 10, 5, 10, 2
9, 0.01655134900011035, 13, 10, 5, 10, 2
9, 0.010203943000078652, 10, 10, 5, 10, 2
9, 0.01754204999997455, 11, 10, 5, 10, 2
9, 0.013202851999949416, 13, 10, 5, 10, 2
9, 0.012694168000052741, 12, 10, 5, 10, 2
9, 0.019779089999929056, 16, 10, 5, 10, 2
9, 0.010415898000019297, 12, 10, 5, 10, 2
9, 0.015554651000002195, 11, 10, 5, 10, 2
9, 0.014910783999994237, 14, 10, 5, 10, 2
9, 0.014210733000027176, 12, 10, 5, 10, 2
9, 0.021979028000032486, 14, 10, 5, 10, 2
9, 0.00873615599994082, 9, 10, 5, 10, 2
9, 0.014976115000081336, 11, 10, 5, 10, 2
9, 0.01541236499997467, 14, 10, 5, 10, 2
9, 0.018651135000027352, 8, 10, 5, 10, 2
9, 0.009283058000164601, 9, 10, 5, 10, 2
9, 0.017672311000069385, 14, 10, 5, 10, 2
9, 0.014273565999928906, 14, 10, 5, 10, 2
9, 0.014163605000021562, 10, 10, 5, 10, 2
9, 0.0066622150000057445, 6, 10, 5, 10, 2
9, 0.016146414999866465, 13, 10, 5, 10, 2
9, 0.01190172699989489, 12, 10, 5, 10, 2
9, 0.016349149000006946, 13, 10, 5, 10, 2
9, 0.00837292599999273, 8, 10, 5, 10, 2
9, 0.01457376899998053, 13, 10, 5, 10, 2
9, 0.014584831999854941, 14, 10, 5, 10, 2
9, 0.012444571000060023, 12, 10, 5, 10, 2
9, 0.01502394799990725, 10, 10, 5, 10, 2
9, 0.014965676999963762, 14, 10, 5, 10, 2
9, 0.02007947900006002, 13, 10, 5, 10, 2
9, 0.01860811599999579, 15, 10, 5, 10, 2
9, 0.00901998399990589, 9, 10, 5, 10, 2
10, 0.01818948300001466, 13, 10, 5, 10, 2
10, 0.007667831999924601, 7, 10, 5, 10, 2
10, 0.02109017800012225, 15, 10, 5, 10, 2
10, 0.015867462999949566, 14, 10, 5, 10, 2
10, 0.014695872000174859, 14, 10, 5, 10, 2
10, 0.011422740000170961, 10, 10, 5, 10, 2
10, 0.008436805999963326, 7, 10, 5, 10, 2
10, 0.015118856999833952, 15, 10, 5, 10, 2
10, 0.012507824000067558, 11, 10, 5, 10, 2
10, 0.017805913999836775, 12, 10, 5, 10, 2
10, 0.01849196399984976, 11, 10, 5, 10, 2
10, 0.014839362999964578, 11, 10, 5, 10, 2
10, 0.016184613999939756, 12, 10, 5, 10, 2
10, 0.01024017300005653, 9, 10, 5, 10, 2
10, 0.01740077299996301, 14, 10, 5, 10, 2
10, 0.010677953000140405, 10, 10, 5, 10, 2
10, 0.015097693000143408, 15, 10, 5, 10, 2
10, 0.019340413000008994, 14, 10, 5, 10, 2
10, 0.016092331999971066, 14, 10, 5, 10, 2
10, 0.0178030449999369, 12, 10, 5, 10, 2
10, 0.00930360499978633, 9, 10, 5, 10, 2
10, 0.017793754999956946, 16, 10, 5, 10, 2
10, 0.019982948000006218, 15, 10, 5, 10, 2
10, 0.016102379999892946, 14, 10, 5, 10, 2
10, 0.012853286999870761, 12, 10, 5, 10, 2
10, 0.014695885000037379, 11, 10, 5, 10, 2
10, 0.017734135000182505, 17, 10, 5, 10, 2
10, 0.016562045999990005, 12, 10, 5, 10, 2
10, 0.01729599700001927, 11, 10, 5, 10, 2
10, 0.009251817999938794, 9, 10, 5, 10, 2
10, 0.011378234000176235, 7, 10, 5, 10, 2
10, 0.007873960999859264, 8, 10, 5, 10, 2
10, 0.015374319999864383, 11, 10, 5, 10, 2
10, 0.010955037000030643, 11, 10, 5, 10, 2
10, 0.0077238900000793365, 8, 10, 5, 10, 2
10, 0.014025532999994539, 12, 10, 5, 10, 2
10, 0.022264536999955453, 15, 10, 5, 10, 2
10, 0.00677337100000841, 6, 10, 5, 10, 2
10, 0.00911439599985897, 5, 10, 5, 10, 2
10, 0.006925006000074063, 6, 10, 5, 10, 2
10, 0.023154677000093216, 16, 10, 5, 10, 2
10, 0.013993676999916715, 13, 10, 5, 10, 2
10, 0.01652510999997503, 12, 10, 5, 10, 2
10, 0.014361931999928856, 13, 10, 5, 10, 2
10, 0.010666529999980412, 10, 10, 5, 10, 2
10, 0.01786250400004974, 11, 10, 5, 10, 2
10, 0.014762474999997721, 12, 10, 5, 10, 2
10, 0.025856945999976233, 17, 10, 5, 10, 2
